Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,2.08,2.16,2.08,2.13,115337158.0,1607667676.0
2020-12-11,2.11,2.11,2.05,2.08,132572049.0,1567760339.0
2020-12-10,2.17,2.18,2.08,2.11,116436665.0,1586356261.0
2020-12-09,2.15,2.2,2.05,2.17,195559316.0,1636139806.0
2020-12-08,2.28,2.36,2.11,2.15,201313793.0,1619735861.0
2020-12-07,2.33,2.33,2.23,2.28,141701563.0,1714502307.0
2020-12-06,2.32,2.34,2.26,2.33,147506850.0,1750066452.0
2020-12-05,2.28,2.33,2.25,2.32,145917728.0,1747283887.0
2020-12-04,2.41,2.43,2.23,2.28,186363130.0,1718747221.0
2020-12-03,2.39,2.45,2.38,2.41,156763160.0,1810537217.0
2020-12-02,2.33,2.41,2.3,2.39,191946336.0,1797166369.0
2020-12-01,2.48,2.55,2.25,2.33,307228805.0,1751725953.0
2020-11-30,2.36,2.53,2.34,2.48,250350582.0,1864425966.0
2020-11-29,2.32,2.43,2.29,2.36,206799141.0,1774575601.0
2020-11-28,2.25,2.43,2.22,2.32,231667778.0,1747260381.0
2020-11-27,2.25,2.34,2.17,2.25,296100133.0,1692530721.0
2020-11-26,2.6,2.66,2.11,2.25,566448836.0,1687573053.0
2020-11-25,2.67,2.94,2.5,2.6,499346438.0,1955225183.0
2020-11-24,2.62,2.82,2.5,2.66,524332878.0,2001485994.0
2020-11-23,2.27,2.65,2.27,2.62,435424500.0,1967422465.0
2020-11-22,2.37,2.43,2.18,2.27,352241350.0,1704073184.0
2020-11-21,2.1,2.38,2.06,2.37,476186263.0,1781144215.0
2020-11-20,2.08,2.15,2.07,2.1,219284140.0,1579993559.0
2020-11-19,2.09,2.14,2.02,2.08,156018269.0,1560359742.0
2020-11-18,2.14,2.18,2.02,2.09,209844569.0,1565733768.0
2020-11-17,2.11,2.15,2.09,2.14,190495116.0,1607314741.0
2020-11-16,2.02,2.09,2.0,2.08,159031187.0,1561965990.0
2020-11-15,2.1,2.11,1.98,2.02,156096826.0,1514960761.0
