 Trial name	 status	 loc	 attn_type   	batch_size 	dropout 	horizon 	learning_rate 	n_epochs 	nhead 	ntest 	num_layers 	patience 	timestep 	weight_decay 	iter 	total time (s) 	loss
 train_transformer_c9c895d3	 TERMINATED	 127.0.0.1:26348	default	4	0.2 	14	0.0001 	50	4	42	2	25	5	1,00E-06	1	16.3596 	0.616456
 train_transformer_59fb6b39	 TERMINATED	 127.0.0.1:26348	default	2	0.1 	14	0.0001 	50	4	42	4	25	5	1,00E-06	4	166.953  	0.606494
 train_transformer_f06c9473	 TERMINATED	 127.0.0.1:19952	default	2	0.1 	14	1,00E-05	50	2	42	4	25	10	1,00E-05	4	232.442  	0.606152
 train_transformer_007b80d9	 TERMINATED	 127.0.0.1:19952	default	4	0.1 	14	0.0001 	50	4	42	4	25	5	1,00E-05	1	29.4003 	0.610147
 train_transformer_1b0121f4	 TERMINATED	 127.0.0.1:19952	default	4	0.1 	14	0.0001 	50	4	42	2	25	5	1,00E-06	1	16.4989 	0.61026
 train_transformer_78441914	 TERMINATED	 127.0.0.1:26348	default	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	462.941  	0.60065
 train_transformer_313c1353	 TERMINATED	 127.0.0.1:26348	default	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	29.0101 	0.611254
 train_transformer_727467e9	 TERMINATED	 127.0.0.1:26348	default	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	28.8272 	0.612513
 train_transformer_edba339f	 TERMINATED	 127.0.0.1:26348	default	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	28.9692 	0.610969
 train_transformer_ad0a0a25	 TERMINATED	 127.0.0.1:26348	default	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	28.9237 	0.608186
 train_transformer_a570721b	 TERMINATED	 127.0.0.1:26348	default	2	0.1 	14	1,00E-05	50	4	42	4	25	10	1,00E-06	16	925.202  	0.604603
 train_transformer_068fb2f8	 TERMINATED	 127.0.0.1:18396	 dense       	4	0.1 	14	0.0001 	50	4	42	2	25	5	1,00E-06	42	723.712  	0.649082
 train_transformer_939405fd	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.2 	14	1,00E-05	50	2	42	2	25	10	1,00E-06	1	26.7277 	0.726066
 train_transformer_3f0a7eb7	 TERMINATED	 127.0.0.1:18396	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	50	2229.76   	0.596933
 train_transformer_265a9b7d	 TERMINATED	 127.0.0.1:18396	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	50	2236.06   	0.60132
 train_transformer_16491091	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	0.0001 	50	2	42	4	25	5	1,00E-06	1	44.5458 	0.607053
 train_transformer_bf71c20b	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	4	180.576  	0.602477
 train_transformer_fa004233	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.5929 	0.605478
 train_transformer_e3e2b10e	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	0.0001 	50	4	42	2	25	5	1,00E-06	1	26.4928 	0.612557
 train_transformer_38f5fd9d	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	0.0001 	50	2	42	2	25	5	1,00E-06	1	26.0333 	0.616458
 train_transformer_b851bcdd	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.9929 	0.605824
 train_transformer_bef37182	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.1643 	0.604638
 train_transformer_90083e7b	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	717.047  	0.601624
 train_transformer_f436bb1b	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.1 	14	1,00E-05	50	4	42	4	25	15	1,00E-06	1	66.3924 	0.613088
 train_transformer_19e28a83	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.61   	0.607491
 train_transformer_fd42f5ad	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	44.9169 	0.606925
 train_transformer_2a7f4681	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	4	180.797  	0.601326
 train_transformer_ab6e0822	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	720.005  	0.600124
 train_transformer_8fc10bad	 TERMINATED	 127.0.0.1:18396	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.4666 	0.610217
 train_transformer_9e5aa4fc	 TERMINATED	 127.0.0.1:18396	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	47	2100.99   	0.601754
 train_transformer_937abf6d	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.0803 	0.611466
 train_transformer_03239707	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	721.374  	0.597225
 train_transformer_9c6c7d3a	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.1098 	0.610685
 train_transformer_21f22299	 TERMINATED	 127.0.0.1:19952	 dense       	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	500.972  	0.596106
 train_transformer_eb1be08d	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	31.1656 	0.612497
 train_transformer_fc135a43	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.1 	14	1,00E-05	50	1	42	2	25	5	1,00E-06	1	16.8192 	0.642158
 train_transformer_f90b16e7	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	1,00E-05	50	1	42	4	25	5	1,00E-06	1	44.0055 	0.608545
 train_transformer_190c2928	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	44.9541 	0.607648
 train_transformer_cc30b8f7	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	4	179.927  	0.599727
 train_transformer_53d017a8	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	500.341  	0.592374
 train_transformer_feb0cfd2	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	31.2655 	0.612099
 train_transformer_1a751f75	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-05	1	44.5059 	0.608528
 train_transformer_0fc11dd9	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	15	1,00E-06	1	79.1472 	0.616514
 train_transformer_86ab63a1	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	44.4764 	0.607091
 train_transformer_feaafce8	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	44.406  	0.611826
 train_transformer_a081363e	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	714.932  	0.596484
 train_transformer_094ef2ff	 TERMINATED	 127.0.0.1:19952	 dense       	4	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-06	1	48.2617 	0.610972
 train_transformer_6f6051b0	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	44.9616 	0.610538
 train_transformer_8aecefb7	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.1777 	0.61153
 train_transformer_baf7972d	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	45.6211 	0.619669
 train_transformer_7fa12978	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	44.7853 	0.608591
 train_transformer_1ea5c32d	 TERMINATED	 127.0.0.1:19952	 dense       	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-06	1	62.5819 	0.617447
 train_transformer_5dc6ecd0	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.1 	14	1,00E-05	50	4	42	2	25	5	1,00E-06	1	17.2471 	0.635017
 train_transformer_d00f92f9	 TERMINATED	 127.0.0.1:18396	 dense       	2	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	719.438  	0.596799
 train_transformer_98abee8f	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	4	181.217  	0.6024
 train_transformer_d41e2ce4	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	4	180.366  	0.601256
 train_transformer_867e7082	 TERMINATED	 127.0.0.1:26348	 dense       	2	0.2 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	16	717.497  	0.599107
 train_transformer_fbc76dac	 TERMINATED	 127.0.0.1:18396	 dense       	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	50	1557.38   	0.578821
 train_transformer_727ace5b	 TERMINATED	 127.0.0.1:26348	 dense       	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	31.175  	0.61419
 train_transformer_75e4163b	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	2	42	4	25	10	1,00E-05	16	1040.54   	0.601825
 train_transformer_92f7016f	 TERMINATED	 127.0.0.1:19952	 dv_mix      	4	0.1 	14	0.0001 	50	2	42	4	25	15	1,00E-05	4	268.8    	0.614166
 train_transformer_5f859312	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	0.0001 	50	4	42	4	25	15	1,00E-05	1	84.8696 	0.618165
 train_transformer_0acfa424	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	5	1,00E-06	16	760.061  	0.603547
 train_transformer_3c8c18e5	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	1	64.4505 	0.622001
 train_transformer_f756eaba	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	16	1029.85   	0.60327
 train_transformer_628bf1fe	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	16	1030.22   	0.602825
 train_transformer_8208e1ea	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	1	64.9363 	0.62804
 train_transformer_8becbbf0	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	2	42	4	25	10	1,00E-05	1	65.0166 	0.608801
 train_transformer_c1509cb7	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	1,00E-05	50	2	42	2	25	10	1,00E-05	1	35.3952 	0.646047
 train_transformer_68388820	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	2	42	2	25	10	1,00E-05	1	35.5442 	0.641802
 train_transformer_6b0ac481	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	16	1030.63   	0.603033
 train_transformer_75b05174	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	1	64.3034 	0.607542
 train_transformer_b18ae41f	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	1	64.4825 	0.62413
 train_transformer_d7a1dc60	 TERMINATED	 127.0.0.1:19952	 dv_mix      	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	16	1032.94   	0.599343
 train_transformer_9c690149	 TERMINATED	 127.0.0.1:26348	 dv_mix      	4	0.2 	14	1,00E-05	50	4	42	4	25	10	1,00E-06	1	49.634  	0.6123
 train_transformer_b1c1dc37	 TERMINATED	 127.0.0.1:26348	 dv_mix      	2	0.1 	14	1,00E-05	50	4	42	4	25	10	1,00E-06	1	63.8787 	0.6208
 train_transformer_8fef5ab8	 TERMINATED	 127.0.0.1:26348	 dv_mix      	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	32.5098 	0.610401
 train_transformer_7a58b156	 TERMINATED	 127.0.0.1:26348	 dv_mix      	4	0.2 	14	1,00E-05	50	1	42	4	25	5	1,00E-06	1	35.0884 	0.607581
 train_transformer_785aa12f	 TERMINATED	 127.0.0.1:19952	 dv_mix      	4	0.2 	14	1,00E-05	50	1	42	4	25	5	1,00E-05	1	32.6533 	0.608276
 train_transformer_14431083	 TERMINATED	 127.0.0.1:19952	 dv_mix      	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	32.5351 	0.608048
 train_transformer_62308433	 TERMINATED	 127.0.0.1:18396	 dv_mix      	4	0.2 	14	0.0001 	50	2	42	4	25	5	1,00E-05	1	32.3035 	0.618871
 train_transformer_e29f18a8	 TERMINATED	 127.0.0.1:19952	 fac_dense   	4	0.2 	14	1,00E-05	50	4	42	2	25	15	1,00E-06	1	35.4982 	0.693209
 train_transformer_ad0b42e9	 TERMINATED	 127.0.0.1:19952	 fac_dense   	4	0.2 	14	1,00E-05	50	4	42	4	25	15	1,00E-05	1	66.5352 	0.623606
 train_transformer_9124d24f	 TERMINATED	 127.0.0.1:19952	 fac_dense   	2	0.2 	14	1,00E-05	50	1	42	4	25	10	1,00E-05	1	62.8892 	0.611111
 train_transformer_08d1da10	 TERMINATED	 127.0.0.1:26348	 fac_dense   	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	50	1585.75   	0.579062
 train_transformer_d24765e1	 TERMINATED	 127.0.0.1:19952	 fac_dense   	4	0.1 	14	1,00E-05	50	4	42	4	25	15	1,00E-06	1	65.3025 	0.628898
 train_transformer_388a5119	 TERMINATED	 127.0.0.1:19952	 fac_dense   	4	0.1 	14	1,00E-05	50	2	42	4	25	15	1,00E-06	1	65.5186 	0.614897
 train_transformer_fae926a2	 TERMINATED	 127.0.0.1:26348	 fac_dense   	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	1	31.759  	0.615403
 train_transformer_559f8bf8	 TERMINATED	 127.0.0.1:26348	 fac_dense   	4	0.1 	14	1,00E-05	50	4	42	4	25	5	1,00E-06	50	1585.46   	0.572945
